web-scraper-order,web-scraper-start-url,Name,Redaktionssitz,Verlag
"1632990151-18509","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Dachauer Nachrichten","Dachau","Münchener Zeitungs-Verlag GmbH & Co. KG"
"1632990151-18614","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Hersfelder Zeitung","Bad Hersfeld","Hoehl-Druck GmbH + Co"
"1632990151-18867","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","tageszeitung, die","Berlin","die tageszeitung Verlagsgenossenschaft eG"
"1632990151-18429","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Aachener Nachrichten","Aachen","Zeitungsverlag Aachen GmbH"
"1632990151-18885","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Vaihinger Kreiszeitung","Vaihingen","Dr. Wimmershof GmbH + Co."
"1632990151-18617","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Hildesheimer Allgemeine Zeitung","Hildesheim","Gebrüder Gerstenberg GmbH & Co KG"
"1632990151-18869","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Tauber-Zeitung","Bad Mergentheim","Neue Pressegesellschaft mbH & Co. KG"
"1632990151-18810","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Sächsische Zeitung","Dresden","Dresdner Druck- & Verlagshaus GmbH & Co. KG"
"1632990151-18457","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Anklamer Zeitung/Usedom-Kurier","Anklam","Kurierverlags GmbH & Co. KG"
"1632990151-18887","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Viernheimer Tageblatt","Viernheim","Joh. Martin Söhne OHG"
"1632990151-18523","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Dithmarscher Landeszeitung","Heide","Boyens Medien GmbH & Co. KG"
"1632990151-18872","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Tercüman","Frankfurt am Main",""
"1632990151-18472","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Bergedorfer Zeitung","Bergedorf","Bergedorfer Buchdruckerei GmbH"
"1632990151-18822","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Schrobenhausener Zeitung","Schrobenhausen","Donaukurier Verlagsgesellschaft mbH & Co KG"
"1632990151-18580","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","General-Anzeiger (Rhauderfehn)","Rhauderfehn","ZGO Zeitungsgruppe Ostfriesland GmbH"
"1632990151-18925","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Wittlager Kreisblatt","Wittlage","Neue Osnabrücker Zeitung GmbH & Co. KG"
"1632990151-18605","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Haßfurter Tagblatt","Haßfurt","Haßfurt Druck und Verlag GmbH"
"1632990151-18855","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Süderländer Tageblatt","Plettenberg","Otto Hundt GmbH + Co. KG"
"1632990151-18468","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Barmstedter Zeitung","Pinneberg","A. Beig Druckerei und Verlag GmbH & Co. KG"
"1632990151-18671","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Main-Post","Würzburg","Mediengruppe Main-Post"
"1632990151-18471","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Berchtesgadener Anzeiger","Berchtesgaden","Berchtesgadener Anzeiger KG"
"1632990151-18667","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Ludwigsburger Kreiszeitung","Ludwigsburg","Ungeheuer + Ulmer KG GmbH + Co."
"1632990151-18502","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Buxtehuder Tageblatt","Buxtehude","Karl Krause GmbH und Co. KG"
"1632990151-18756","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Ostfriesischer Kurier","Norden","Ostfriesischer Kurier GmbH & Co. KG"
"1632990151-18924","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Winsener Anzeiger","Winsen (Luhe)","Ravens & Maack GmbH"
"1632990151-18565","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Fränkischer Anzeiger","Rothenburg ob der Tauber","Schneider Druck GmbH"
"1632990151-18545","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Emder Zeitung","Emden","Emder Zeitung GmbH & Co. KG"
"1632990151-18451","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Altenaer Kreisblatt","Altena","Märkischer Zeitungsverlag GmbH & Co. KG"
"1632990151-18558","https://de.wikipedia.org/wiki/Liste_deutscher_Zeitungen","Frankenpost","Hof","Frankenpost Verlag GmbH"
